horizon,secid,param_id,fold_id,train_rows,validation_rows,validation_first_date,validation_last_date,max_depth,min_samples_leaf,max_thresholds,normalize_etc,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,true_positive_share,predicted_positive_share,tp,tn,fp,fn
1,IMOEX,22,2,2007.0,193.0,2023-03-29,2023-12-27,3,100,8,False,0.6010362694300518,0.49572649572649574,0.6041666666666666,0.9914529914529915,0.7508090614886731,0.6062176165803109,0.9948186528497409,116.0,0.0,76.0,1.0
1,IMOEX,22,mean,,,,,3,100,8,False,0.5416468839667238,0.4904120534010235,,,,,,,,,
1,IMOEX,23,0,999.0,251.0,2019-03-04,2020-03-02,3,100,16,False,0.4940239043824701,0.4766252266252266,0.5512820512820513,0.6013986013986014,0.5752508361204013,0.5697211155378487,0.6215139442231076,86.0,38.0,70.0,57.0
1,IMOEX,23,1,1503.0,251.0,2021-03-05,2022-03-25,3,100,16,False,0.47808764940239046,0.4580287289983327,0.52,0.6594202898550725,0.5814696485623003,0.549800796812749,0.6972111553784861,91.0,29.0,84.0,47.0
1,IMOEX,23,2,2007.0,193.0,2023-03-29,2023-12-27,3,100,16,False,0.5647668393782384,0.5511133603238867,0.6486486486486487,0.6153846153846154,0.631578947368421,0.6062176165803109,0.5751295336787565,72.0,37.0,39.0,45.0
1,IMOEX,23,mean,,,,,3,100,16,False,0.512292797721033,0.495255771982482,,,,,,,,,
1,IMOEX,24,0,999.0,251.0,2019-03-04,2020-03-02,4,10,8,False,0.50199203187251,0.5006151256151257,0.5703125,0.5104895104895105,0.5387453874538746,0.5697211155378487,0.5099601593625498,73.0,53.0,55.0,70.0
1,IMOEX,24,1,1503.0,251.0,2021-03-05,2022-03-25,4,10,8,False,0.5179282868525896,0.5054828780300116,0.554140127388535,0.6304347826086957,0.5898305084745763,0.549800796812749,0.6254980079681275,87.0,43.0,70.0,51.0
1,IMOEX,24,2,2007.0,193.0,2023-03-29,2023-12-27,4,10,8,False,0.5440414507772021,0.5017431399010346,0.6074074074074074,0.7008547008547008,0.6507936507936508,0.6062176165803109,0.6994818652849741,82.0,23.0,53.0,35.0
1,IMOEX,24,mean,,,,,4,10,8,False,0.5213205898341006,0.5026137145153906,,,,,,,,,
