secid,date,future_date,close,future_close,future_return,target_up,horizon,model,predicted_return,predicted_close,predicted_up,position,position_change,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,cost_bps
RTSI,2025-09-24,2025-10-01,1021.52,1023.28,0.0017229227034223,1,5,LastHorizonReturn,-0.0435832857396987,976.9988019511828,0,0,0,0.0,0.0,0.0017229227034223,1.011004647964607,0.953538214957976,5.0
RTSI,2025-10-01,2025-10-08,1023.28,989.91,-0.0326108201078884,0,5,LastHorizonReturn,0.0017229227034223,1025.043032343958,1,1,1,0.0005,-0.0331108201078884,-0.0326108201078884,0.977529454937612,0.9224425517639844,5.0
RTSI,2025-10-08,2025-10-15,989.91,1017.01,0.0273762261215666,1,5,LastHorizonReturn,-0.0326108201078884,957.628223067,0,0,1,0.0005,-0.0005,0.0273762261215666,0.9770406902101433,0.9476955476452301,5.0
RTSI,2025-10-15,2025-10-22,1017.01,1023.52,0.0064011169998328,1,5,LastHorizonReturn,0.0273762261215666,1044.8518957278943,1,1,1,0.0005,0.0059011169998327995,0.0064011169998328,0.9828063216366708,0.9537618577259279,5.0
RTSI,2025-10-22,2025-10-29,1023.52,1000.24,-0.0227450367359699,0,5,LastHorizonReturn,0.0064011169998328,1030.071671271669,1,1,0,0.0,-0.0227450367359699,-0.0227450367359699,0.9604523557467012,0.9320685092345847,5.0
RTSI,2025-10-29,2025-11-05,1000.24,988.12,-0.0121170918979445,0,5,LastHorizonReturn,-0.0227450367359699,977.4895044552136,0,0,1,0.0005,-0.0005,-0.0121170918979445,0.9599721295688279,0.9207745494530091,5.0
RTSI,2025-11-05,2025-11-12,988.12,982.92,-0.0052625187224224,0,5,LastHorizonReturn,-0.0121170918979445,976.1468591538032,0,0,0,0.0,-0.0,-0.0052625187224224,0.9599721295688279,0.9159289561473826,5.0
RTSI,2025-11-12,2025-11-19,982.92,1029.78,0.0476742766450983,1,5,LastHorizonReturn,-0.0052625187224224,977.7473650973564,0,0,0,0.0,0.0,0.0476742766450983,0.9599721295688279,0.9595952065900091,5.0
RTSI,2025-11-19,2025-11-26,1029.78,1069.54,0.0386101885839693,1,5,LastHorizonReturn,0.0476742766450983,1078.874016603589,1,1,1,0.0005,0.0381101885839693,0.0386101885839693,0.9965568484620505,0.9966453584807223,5.0
RTSI,2025-11-26,2025-12-03,1069.54,1071.57,0.0018980122295566,1,5,LastHorizonReturn,0.0386101885839693,1110.8351410980986,1,1,0,0.0,0.0018980122295566,0.0018980122295566,0.9984483255478799,0.9985370035596496,5.0
